"round","learning_rate","max_depth","mds","sb_sample","spw","auc","Fmeasure","precision","recall","fnm","x","y","n"
2,1,8,0,0.5,22,0.800694650003801,0.531364088947892,0.456515540347876,0.635569670504168,"dt_9478_x_ben.recent.wayback_cc_y.train30.test30.roll30_ret_grid.csv","ben.recent.wayback","cc","9478"
3,1,2,0,1,22,0.793474633760413,0.45260796410544,0.349880771732062,0.640730448590711,"dt_9478_x_ben.recent.wayback_cc_y.train30.test30.roll30_ret_grid.csv","ben.recent.wayback","cc","9478"
4,1,8,0,1,22,0.794854367108026,0.438102893890675,0.330637007077856,0.649067090115125,"dt_9478_x_ben.recent.wayback_cc_y.train30.test30.roll30_ret_grid.csv","ben.recent.wayback","cc","9478"
1,1,2,0,0.5,8,0.840483341133253,0.481158393481823,0.329272727272727,0.893144829853691,"dt_9478_x_ben.recent.wayback_fx_y.train30.test30.roll30_ret_grid.csv","ben.recent.wayback","fx","9478"
2,1,8,0,0.5,8,0.839994870576143,0.478478566408995,0.326460893017681,0.895446325826073,"dt_9478_x_ben.recent.wayback_fx_y.train30.test30.roll30_ret_grid.csv","ben.recent.wayback","fx","9478"
3,1,2,0,1,8,0.797458133277698,0.481237587540504,0.352769902689449,0.756863389774782,"dt_9478_x_ben.recent.wayback_fx_y.train30.test30.roll30_ret_grid.csv","ben.recent.wayback","fx","9478"
4,1,8,0,1,8,0.715239573496859,0.476772424598512,0.455402574079617,0.500246588854184,"dt_9478_x_ben.recent.wayback_fx_y.train30.test30.roll30_ret_grid.csv","ben.recent.wayback","fx","9478"
1,1,2,0,0.5,184,0.811205546892508,0.222707423580786,0.134564643799472,0.645569620253165,"dt_9478_x_ben.recent.wayback_ln_y.train30.test30.roll30_ret_grid.csv","ben.recent.wayback","ln","9478"
2,1,8,0,0.5,184,0.818771984546385,0.0812433768986224,0.0430228208005986,0.727848101265823,"dt_9478_x_ben.recent.wayback_ln_y.train30.test30.roll30_ret_grid.csv","ben.recent.wayback","ln","9478"
3,1,2,0,1,184,0.814807281145468,0.126210742588788,0.0695567777418311,0.680379746835443,"dt_9478_x_ben.recent.wayback_ln_y.train30.test30.roll30_ret_grid.csv","ben.recent.wayback","ln","9478"
4,1,8,0,1,184,0.789066328059314,0.258241758241758,0.164912280701754,0.594936708860759,"dt_9478_x_ben.recent.wayback_ln_y.train30.test30.roll30_ret_grid.csv","ben.recent.wayback","ln","9478"
1,1,2,0,0.5,45,0.868908851574018,0.181705233731946,0.100749160423663,0.924901185770751,"dt_9478_x_ben.recent.wayback_wm_y.train30.test30.roll30_ret_grid.csv","ben.recent.wayback","wm","9478"
2,1,8,0,0.5,45,0.86605502865648,0.217614533965245,0.124337131896649,0.871146245059289,"dt_9478_x_ben.recent.wayback_wm_y.train30.test30.roll30_ret_grid.csv","ben.recent.wayback","wm","9478"
3,1,2,0,1,45,0.880901415192537,0.214073523950984,0.121279057536552,0.911462450592885,"dt_9478_x_ben.recent.wayback_wm_y.train30.test30.roll30_ret_grid.csv","ben.recent.wayback","wm","9478"
4,1,8,0,1,45,0.777539677931465,0.286713286713287,0.186855360997841,0.615810276679842,"dt_9478_x_ben.recent.wayback_wm_y.train30.test30.roll30_ret_grid.csv","ben.recent.wayback","wm","9478"
1,1,2,0,0.5,40,0.574339607585574,0.0567212358773346,0.0294842818985001,0.744165946413137,"dt_9478_x_bencode_cc_y.train30.test30.roll30_ret_grid.csv","bencode","cc","9478"
2,1,8,0,0.5,40,0.56958817709242,0.0559117388615875,0.0290497125464998,0.742437337942956,"dt_9478_x_bencode_cc_y.train30.test30.roll30_ret_grid.csv","bencode","cc","9478"
3,1,2,0,1,40,0.577916519212414,0.0579689653953554,0.0302203877054618,0.708729472774417,"dt_9478_x_bencode_cc_y.train30.test30.roll30_ret_grid.csv","bencode","cc","9478"
4,1,8,0,1,40,0.577799539494171,0.0579617834394904,0.0302180570416559,0.707865168539326,"dt_9478_x_bencode_cc_y.train30.test30.roll30_ret_grid.csv","bencode","cc","9478"
1,1,2,0,0.5,15,0.592470209638124,0.17803113352335,0.115373685706167,0.389635316698656,"dt_9478_x_bencode_fx_y.train30.test30.roll30_ret_grid.csv","bencode","fx","9478"
2,1,8,0,0.5,15,0.570208864041992,0.168651555897042,0.120505078232226,0.2808701215611,"dt_9478_x_bencode_fx_y.train30.test30.roll30_ret_grid.csv","bencode","fx","9478"
3,1,2,0,1,15,0.548139419162827,0.148480318883906,0.121583027335781,0.19065898912348,"dt_9478_x_bencode_fx_y.train30.test30.roll30_ret_grid.csv","bencode","fx","9478"
4,1,8,0,1,15,0.530014782434271,0.120803357314149,0.113649182177101,0.12891874600128,"dt_9478_x_bencode_fx_y.train30.test30.roll30_ret_grid.csv","bencode","fx","9478"
1,1,2,0,0.5,332,0.56589749334638,0.00646475094546983,0.00324612088554178,0.763358778625954,"dt_9478_x_bencode_ln_y.train30.test30.roll30_ret_grid.csv","bencode","ln","9478"
2,1,8,0,0.5,332,0.522613124106132,0.00578098130328199,0.00290441176470588,0.603053435114504,"dt_9478_x_bencode_ln_y.train30.test30.roll30_ret_grid.csv","bencode","ln","9478"
3,1,2,0,1,332,0.519350255586003,0.00572405590246803,0.00287603182310537,0.587786259541985,"dt_9478_x_bencode_ln_y.train30.test30.roll30_ret_grid.csv","bencode","ln","9478"
4,1,8,0,1,332,0.51566715428219,0.00565265898103384,0.00284016592548302,0.580152671755725,"dt_9478_x_bencode_ln_y.train30.test30.roll30_ret_grid.csv","bencode","ln","9478"
1,1,2,0,0.5,79,0.588990533609187,0.0360593277997006,0.0187557505839054,0.46572934973638,"dt_9478_x_bencode_wm_y.train30.test30.roll30_ret_grid.csv","bencode","wm","9478"
2,1,8,0,0.5,79,0.538157538564032,0.0301328841474827,0.0159138084412375,0.282952548330404,"dt_9478_x_bencode_wm_y.train30.test30.roll30_ret_grid.csv","bencode","wm","9478"
3,1,2,0,1,79,0.503818987488924,0.0218368657675016,0.0133595284872299,0.0597539543057996,"dt_9478_x_bencode_wm_y.train30.test30.roll30_ret_grid.csv","bencode","wm","9478"
4,1,8,0,1,79,0.504763343147794,0.0224942110486272,0.0138549307253464,0.0597539543057996,"dt_9478_x_bencode_wm_y.train30.test30.roll30_ret_grid.csv","bencode","wm","9478"
1,1,2,0,0.5,47,0.541407208949722,0.0472044728434505,0.0246096189881324,0.576585365853658,"dt_9478_x_recent.wayback_cc_y.train30.test30.roll30_ret_grid.csv","recent.wayback","cc","9478"
2,1,8,0,0.5,47,0.540886519736,0.0480037798251831,0.0252234359483615,0.495609756097561,"dt_9478_x_recent.wayback_cc_y.train30.test30.roll30_ret_grid.csv","recent.wayback","cc","9478"
3,1,2,0,1,47,0.51458278384719,0.0433964993490525,0.0234356690883525,0.292682926829268,"dt_9478_x_recent.wayback_cc_y.train30.test30.roll30_ret_grid.csv","recent.wayback","cc","9478"
4,1,8,0,1,47,0.50068650935039,0.0382546323968918,0.0213025629646067,0.187317073170732,"dt_9478_x_recent.wayback_cc_y.train30.test30.roll30_ret_grid.csv","recent.wayback","cc","9478"
1,1,2,0,0.5,9,0.8059559121862,0.405723905723906,0.264322580645161,0.872444633730835,"dt_9478_x_recent.wayback_fx_y.train30.test30.roll30_ret_grid.csv","recent.wayback","fx","9478"
2,1,8,0,0.5,9,0.633606437162714,0.310025706940874,0.259392027530829,0.385221465076661,"dt_9478_x_recent.wayback_fx_y.train30.test30.roll30_ret_grid.csv","recent.wayback","fx","9478"
3,1,2,0,1,9,0.770454412408994,0.397781475318913,0.268936553172341,0.763628620102215,"dt_9478_x_recent.wayback_fx_y.train30.test30.roll30_ret_grid.csv","recent.wayback","fx","9478"
4,1,8,0,1,9,0.642493683591693,0.33511486169714,0.299380130675155,0.380536626916525,"dt_9478_x_recent.wayback_fx_y.train30.test30.roll30_ret_grid.csv","recent.wayback","fx","9478"
1,1,2,0,0.5,371,0.733390388685894,0.0303202577221906,0.0155732918045552,0.571428571428571,"dt_9478_x_recent.wayback_ln_y.train30.test30.roll30_ret_grid.csv","recent.wayback","ln","9478"
2,1,8,0,0.5,371,0.617125178852271,0.0152470312270928,0.00778326597814698,0.371428571428571,"dt_9478_x_recent.wayback_ln_y.train30.test30.roll30_ret_grid.csv","recent.wayback","ln","9478"
3,1,2,0,1,371,0.508740111390968,0.00725426187885383,0.00382116927779901,0.0714285714285714,"dt_9478_x_recent.wayback_ln_y.train30.test30.roll30_ret_grid.csv","recent.wayback","ln","9478"
4,1,8,0,1,371,0.496523762224035,0.00470035252643948,0.00248653128885205,0.0428571428571429,"dt_9478_x_recent.wayback_ln_y.train30.test30.roll30_ret_grid.csv","recent.wayback","ln","9478"
